ID,2_1a,Quant,R3_2,R3_3,R3_4,R4_2,R4_3,R4_4,R5_2,R5_3,R5_4,R6_2,R6_3,R6_4,R7_2,R7_3,R7_4,R8_2,R8_3,R8_4,R9_2,R9_3,R9_4,R10_2,R10_3,R10_4,R11_2,R11_3,R11_4,R12_2,R12_3,R12_4,R13_2,R13_3,R13_4,R14_2,R14_3,R14_4,R15_2,R15_3,R15_4,R16_2,R16_3,R16_4,R17_2,R17_3,R17_4,Career,US
R_p5TCSArPTE8KjAd,Yes,1,70,2,1,50,1,2,60,1,1,60,2,2,70,1,1,30,1,1,40,1,1,60,1,1,60,2,2,50,2,2,50,4,3,30,1,2,30,1,2,40,2,3,50,3,2,Early,1
R_AiWegHDiNzy4j97,Yes,1,60,2,2,60,2,2,50,3,3,60,3,2,70,3,3,20,1,1,20,1,2,20,1,2,10,1,1,40,1,1,40,3,3,20,1,3,30,1,4,30,2,3,50,1,4,Early,1
R_1ik7DOexk4Htf5m,Yes,1,70,2,2,70,1,1,100,2,1,90,2,1,80,1,2,60,1,1,0,1,2,90,3,1,80,3,2,20,1,1,30,1,3,30,1,3,30,1,3,20,1,3,70,4,3,Early,1
R_3dRqHIwoElQEArM,Yes,1,60,1,2,20,1,1,50,1,1,100,4,2,50,3,1,50,1,1,50,1,2,90,4,2,20,3,2,20,1,1,10,1,3,20,4,3,50,5,4,10,1,3,50,5,4,Early,1
R_3KGR0jHzikxeQHe,Yes,1,40,1,1,40,1,1,60,1,1,50,1,2,40,1,1,30,1,1,40,1,2,30,1,2,60,1,1,50,1,1,,,,10,1,3,10,1,3,70,3,2,40,1,3,Early,1
R_1OvtCVkWckv2uAq,Yes,1,50,1,3,50,5,4,70,5,4,30,3,3,50,2,3,30,1,2,0,1,,60,2,3,70,3,3,70,5,4,50,5,4,10,1,3,10,2,2,20,2,3,60,4,4,Early,1
R_3jZ0nwsTTpTbKVC,Yes,1,20,1,1,20,1,2,10,1,1,40,3,3,30,1,1,10,1,1,10,1,1,20,1,1,30,1,1,10,1,1,10,2,3,0,1,4,40,2,3,10,1,4,30,1,3,Early,1
R_zUdr70bepX25dhT,Yes,1,60,1,1,90,3,2,60,1,1,70,1,2,90,4,3,70,2,2,70,1,1,90,3,2,40,1,1,40,1,1,30,1,4,30,1,3,30,1,3,40,1,3,70,1,3,Early,1
R_sTfe9mM9HUQ9jsl,Yes,1,100,3,,100,3,,80,3,3,60,3,,20,1,1,10,1,,10,1,2,10,1,1,30,1,4,10,1,1,10,2,3,10,3,3,30,3,3,30,2,3,70,4,4,Early,1
R_3HYLv2kP8Q7ZskZ,Yes,1,100,3,2,70,3,2,30,1,1,100,3,3,30,1,1,30,2,2,30,1,2,50,2,2,20,1,1,10,1,1,100,4,4,30,1,3,30,1,3,10,2,2,70,1,4,Early,1
R_3oEZqSD31zBV7yo,Yes,1,60,1,1,60,1,1,50,1,1,80,3,2,40,1,1,10,1,1,40,1,2,30,1,2,10,1,1,30,1,1,50,2,2,30,4,3,20,1,3,20,2,3,50,1,4,Early,1
R_sdLSJYtkwk9zPrj,Yes,1,90,3,,70,3,2,70,3,2,70,3,,80,3,1,90,4,,60,1,2,90,4,3,50,1,1,50,1,1,50,1,,40,3,3,50,4,3,70,3,3,60,3,3,Early,1
R_3ml2GIhztAl6XKG,Yes,1,90,1,1,60,1,2,70,1,1,90,3,2,60,1,1,40,1,1,60,1,2,80,3,2,80,1,1,50,1,1,20,1,3,10,1,4,20,1,4,10,3,4,30,1,2,Early,1
R_21gFSvwm121pvcE,Yes,1,50,1,1,70,3,2,20,1,1,60,3,2,10,1,1,20,1,1,10,1,2,20,1,1,10,1,1,10,1,1,10,1,3,20,2,3,10,1,3,10,1,3,30,5,4,Early,1
R_2E3QIF4clSBL1h7,Yes,1,10,1,2,10,1,1,10,3,4,10,1,2,,1,1,30,3,3,0,1,2,10,1,2,40,1,2,10,2,2,10,1,3,10,1,3,10,1,3,10,1,3,10,3,3,Early,1
R_qXB8Cmkd3CpySat,Yes,1,50,1,1,50,1,1,50,1,1,80,3,2,40,1,1,50,1,1,30,1,1,50,1,1,50,1,1,40,1,1,30,3,3,20,1,3,50,4,4,20,3,3,70,3,4,Early,1
R_z9b7IN85oeOmvMl,Yes,1,80,3,2,70,3,2,70,3,2,70,4,3,90,4,3,50,3,1,80,4,3,70,3,2,50,1,1,20,1,1,60,4,3,30,1,3,80,4,3,80,3,3,60,3,3,Early,1
R_3MJNgKjc3PMjdTP,Yes,1,90,1,1,90,1,1,40,3,3,50,1,1,90,1,1,90,1,1,90,1,1,90,1,4,90,1,1,,,,20,3,3,30,1,4,40,5,4,40,3,4,70,3,3,Early,0
R_Ugr0eZZjsT6X2WB,Yes,1,80,3,1,80,4,3,60,3,2,70,1,1,40,1,1,90,1,1,20,1,2,90,1,2,80,1,1,20,1,1,10,1,3,10,4,3,10,1,3,10,1,3,30,3,3,Early,1
R_Bxko2FV5IhFAYnf,Yes,1,100,5,1,80,2,1,70,3,2,90,4,2,40,1,1,80,3,2,50,1,1,70,3,2,40,1,1,30,1,1,10,2,4,10,1,3,20,1,3,10,2,3,30,1,4,Early,1
R_Qmr0tAtRr71zSWB,Yes,1,90,2,2,60,1,2,40,1,1,70,1,1,50,1,1,80,1,2,50,1,2,50,1,2,90,1,1,20,1,1,60,1,3,40,3,4,70,3,3,20,1,4,90,3,3,Early,1
R_12PiYexxg1q3MuO,Yes,1,90,3,3,50,3,3,30,1,2,100,3,4,10,1,1,,,,20,1,2,60,2,2,50,1,1,20,1,1,90,4,4,10,1,2,10,1,2,40,3,3,80,3,2,Early,0
R_31zTDBtr2egZ9s3,Yes,1,100,5,4,100,5,4,80,4,3,80,5,4,20,1,1,100,5,3,10,1,3,80,5,3,100,4,1,10,1,2,80,3,3,20,1,3,20,1,3,0,1,2,50,5,4,Early,0
R_3rY6v6wBnVNq2OT,Yes,1,,,,40,1,1,90,4,3,100,5,3,,3,2,,,,,,,10,1,2,20,2,2,10,1,1,,,,20,1,2,,,,,,,70,3,3,Early,1
R_3atSYv1l43qVZmx,Yes,1,50,3,2,60,1,3,20,1,1,80,4,3,50,1,1,60,1,2,30,1,,50,1,1,70,1,1,20,1,2,10,1,2,60,1,3,30,1,3,10,1,2,70,4,4,Early,1
R_31dgPb1OoongoiM,Yes,1,50,2,2,50,3,,40,2,,60,3,,20,1,1,70,3,,50,3,,50,3,,30,1,,20,1,1,,,,20,1,,20,1,,20,,,80,3,,Early,1
R_3CHhQXZW5q1LUt3,Yes,1,40,1,1,10,1,1,10,1,1,90,4,4,40,1,1,40,1,1,10,1,1,10,1,1,100,3,2,10,1,1,50,5,4,10,1,2,10,1,3,10,1,3,100,5,4,Early,1
R_3QQyJcgwAQlrN73,Yes,1,70,1,1,50,1,1,70,1,1,70,1,1,80,1,1,70,3,2,40,1,1,30,1,1,50,1,1,30,1,1,50,3,3,30,1,1,50,3,3,70,3,3,70,3,4,Early,1
R_22RhuQAc1uZPTbX,Yes,1,80,3,1,40,1,1,30,1,1,90,3,2,30,1,1,60,1,2,60,3,3,30,1,2,60,1,1,10,1,1,20,1,3,20,1,2,30,2,3,20,3,3,80,4,3,Early,1
R_2QPQJvIeULR1Ccl,Yes,1,90,,,30,,,60,1,1,90,3,,30,1,1,50,2,1,70,,,30,,,80,,1,20,,,30,2,4,10,,,20,,,10,1,3,30,2,,Early,1
R_2QWDLtKtCbMyEuu,Yes,1,90,3,2,30,1,2,80,1,2,100,3,2,20,1,2,70,1,2,10,1,2,30,3,2,100,3,1,,,,10,2,3,10,2,3,20,3,3,10,1,3,50,3,3,Early,1
R_dj67doi8xix6Kbv,Yes,1,20,1,1,40,1,1,20,1,1,90,5,4,10,1,1,10,1,1,10,1,1,10,1,2,20,1,1,10,1,1,10,1,2,10,1,2,10,1,2,30,1,3,40,3,3,Early,1
R_29dkxpSfu35PVEx,Yes,1,100,3,1,100,1,1,70,1,1,100,4,2,90,2,1,90,4,1,50,1,1,100,3,1,80,1,1,10,1,2,10,3,4,40,1,4,10,1,4,0,1,3,60,5,4,Early,0
R_pbJqFcYl4b1eqxX,Yes,1,70,1,1,60,1,1,60,2,4,80,1,1,80,1,1,80,1,1,60,1,2,70,1,1,40,1,1,60,1,1,80,5,4,10,1,1,30,1,1,60,3,3,70,4,4,Early,0
R_2QtShxEPGsd12DX,Yes,1,0,4,2,10,4,3,0,3,3,10,5,2,10,3,2,10,4,3,10,2,3,10,1,1,10,2,1,0,1,1,10,5,4,0,4,4,0,1,2,10,1,2,0,1,1,Early,0
R_10UH2hh25vCArOM,Yes,1,90,1,1,90,3,2,80,1,1,0,2,1,20,1,1,80,1,2,40,1,2,90,2,1,100,1,,10,1,1,10,5,4,20,5,3,10,5,4,10,4,3,50,5,4,Early,1
R_OxlcMZGIvGY49Wh,Yes,1,100,3,1,100,4,2,20,1,1,50,1,1,10,1,1,10,1,1,20,1,1,20,1,1,50,1,1,10,1,1,20,3,3,20,3,3,0,3,4,0,1,2,30,4,4,Early,0
R_12zpZg4jmaYSxIO,Yes,1,60,1,2,100,3,4,70,1,1,100,4,4,70,1,1,50,1,1,50,1,2,70,1,1,70,1,1,50,1,1,30,1,3,30,1,2,50,1,3,30,1,2,80,3,3,Early,1
R_3s4g9ZQas6vAUIa,Yes,1,100,3,1,30,1,1,40,1,1,30,1,1,20,1,1,10,1,1,0,1,1,20,1,1,60,1,1,0,1,1,40,4,4,20,1,4,30,3,3,10,1,4,10,4,4,Early,1
R_XYVHiPYRWqnVRO9,Yes,1,90,1,2,90,3,3,90,3,2,90,3,2,10,1,1,60,1,1,100,4,3,100,3,3,50,1,1,50,1,1,40,3,3,50,1,2,50,1,3,100,3,3,50,1,1,Early,1
R_3k6eoQbNfKseolH,Yes,1,50,1,1,30,1,,60,1,1,60,1,1,20,1,1,30,1,1,40,1,1,50,1,1,50,1,1,40,1,1,20,1,3,50,1,3,30,2,3,30,3,3,40,3,3,Early,1
R_0wAkU5iaIEkxKLf,Yes,1,80,3,1,80,3,2,70,1,1,70,3,2,70,1,1,50,2,2,80,3,3,80,3,2,60,3,1,30,1,1,10,1,4,30,4,4,10,3,3,20,2,3,20,3,2,Early,1
R_1gFHs6NZYi45SOF,Yes,1,40,3,2,30,3,2,40,3,2,0,1,1,0,1,1,10,1,2,10,1,2,10,1,2,10,1,1,0,1,1,10,3,3,20,3,3,20,3,3,10,3,3,30,3,3,Early,1
R_3QEuUXBh1cf4pow,Yes,1,70,4,3,50,3,2,70,4,3,50,3,2,60,4,2,50,2,2,50,2,2,60,4,3,50,3,2,30,1,1,10,1,1,10,2,3,40,4,3,20,2,2,50,4,4,Early,1
R_1GVmRbuQLtCBQ7U,Yes,1,100,3,2,30,1,1,70,1,1,80,5,4,40,1,1,70,1,1,60,1,2,80,3,2,80,1,1,30,1,1,20,3,4,30,1,3,30,4,4,50,1,2,30,5,4,Early,1
R_Y0rkDEfZldGDYJ3,Yes,1,50,3,2,40,3,2,10,1,1,,,,10,1,1,20,1,1,,,,40,3,3,10,1,1,20,1,1,20,3,,10,1,3,50,3,3,10,1,,40,1,2,Early,0
R_1d0S00qDJSin1Ti,Yes,1,30,1,2,40,1,2,40,2,2,80,3,4,50,3,3,50,2,2,50,2,2,70,3,3,40,1,2,20,1,1,10,1,3,10,3,4,10,3,4,20,3,3,50,4,4,Early,0
R_3HM0Oc8WvcyNu2s,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,1,1,,1,1,,,,,1,3,,1,3,,1,3,,1,,Early,1
R_UcqNiJUZvvMDaW5,Yes,1,60,1,1,50,1,1,40,1,1,100,3,3,80,1,1,80,3,2,40,,,100,3,2,40,1,1,40,1,1,40,2,2,40,1,3,20,1,3,40,1,3,40,3,3,Early,1
R_D6poqOBr67Fd04x,Yes,1,50,1,2,80,4,3,20,1,1,50,1,1,80,1,2,10,1,1,30,1,2,30,1,2,20,1,1,10,1,1,50,2,4,20,1,3,60,4,3,50,1,3,40,3,2,Early,1
R_1LCCmdUf4UgFC04,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,80,3,2,80,1,2,,,,,,,,,,,,,70,3,2,30,1,1,50,3,3,100,4,3,100,4,3,70,1,3,80,3,4,Early,1
R_3FIQeUCBdaJBDW8,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,10,1,1,30,1,1,,,,,,,,,,,,,20,1,1,10,1,2,50,1,3,30,3,3,20,1,3,10,1,2,50,5,4,Early,1
R_3QRB5tkTyzCxePc,Yes,1,50,3,2,50,1,2,50,1,1,50,1,1,50,3,2,50,,,50,1,2,50,1,1,50,1,1,50,1,1,70,4,3,20,3,3,20,1,3,50,3,3,50,3,3,Early,1
R_1kMrd4NdOZ0oped,Yes,1,90,4,2,50,1,2,60,3,1,80,5,2,50,3,2,50,1,1,80,3,2,30,2,1,50,3,2,20,1,1,10,1,4,10,1,3,10,1,4,10,2,3,10,1,3,Early,1
R_O0RN6YSNKbWWmiZ,Yes,1,70,4,3,30,1,2,20,1,1,30,1,1,30,2,1,30,1,2,50,2,3,20,1,2,50,1,1,20,1,2,0,1,2,10,1,3,0,1,2,10,1,3,10,1,3,Early,1
R_3HvoMOZxb67Jyjt,Yes,1,30,3,2,60,4,3,30,3,2,50,4,3,,1,1,,,,10,1,,20,3,2,10,1,1,0,1,1,20,1,,40,3,3,20,1,3,10,1,3,60,5,4,Early,0
R_1ik7qFyVXLYMgbc,Yes,1,80,3,2,70,1,1,80,1,1,90,1,2,80,1,1,70,1,1,70,1,1,90,3,2,90,2,1,30,2,2,90,4,4,20,3,3,50,5,4,50,1,2,50,4,4,Early,0
R_3ewPIG9L09QuGAX,Yes,1,100,3,4,20,1,2,80,5,4,100,4,4,90,4,4,50,3,3,80,3,3,70,4,4,100,1,1,10,1,1,50,1,1,10,4,3,10,5,4,30,3,3,50,4,4,Early,1
R_2gzo6zGg3LYMKHv,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,40,3,3,50,3,3,,,,,,,,,,,,,30,3,3,20,3,3,50,3,3,30,3,3,20,3,3,20,3,3,20,3,3,Early,0
R_2e82P3BvvoXpt3D,Yes,1,,,,100,4,2,100,3,1,60,3,2,90,2,1,50,1,1,30,1,3,50,1,2,60,1,1,60,1,1,10,2,3,20,4,3,10,4,4,10,3,3,90,4,3,Early,1
R_DqVrD8837c0IWpb,Yes,1,70,3,2,50,1,2,80,3,2,60,3,3,40,1,1,50,1,1,60,1,2,80,3,2,80,3,2,70,3,3,30,1,3,40,1,3,40,1,3,20,1,3,60,1,3,Early,0
R_2wyr5ebXOb8KCbf,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,40,3,2,40,3,2,,,,,,,,,,,,,30,1,1,30,1,1,20,3,3,40,3,3,80,4,4,70,4,3,60,3,3,Early,0
R_3lDkh9zBlaEzRlD,Yes,1,100,3,2,50,1,1,80,3,4,70,3,2,60,3,2,30,1,1,30,1,1,10,1,1,10,1,1,0,1,1,10,1,3,20,1,2,20,3,3,20,1,3,30,3,3,Early,0
R_3MmTWJV76PaCn98,Yes,1,90,4,2,50,1,2,70,,,70,,,90,,,10,1,1,10,1,1,70,2,2,50,,,20,1,1,10,1,,20,1,3,70,1,3,20,1,4,20,1,1,Early,1
R_2zwfPpxq5kr5B3x,Yes,1,60,1,1,40,2,1,40,1,2,90,3,2,40,1,1,40,2,2,40,1,2,0,1,1,30,5,4,20,1,1,80,5,4,20,1,2,10,1,3,80,3,3,50,1,3,Early,0
R_d5PiqE1G4qBnmvL,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,40,1,1,70,3,3,,,,,,,,,,,,,40,1,1,40,1,1,70,4,3,40,1,2,40,1,3,60,1,3,40,3,4,Early,1
R_2flWroTb1Iiy00c,Yes,1,80,3,2,80,3,2,50,1,1,60,1,2,50,1,1,30,1,1,30,1,2,70,3,2,30,1,1,20,1,1,20,2,3,10,1,3,50,3,2,20,3,3,30,1,2,Early,1
R_4MjI1gJ6zrIfNNn,Yes,1,60,1,2,70,1,2,40,1,2,70,1,2,80,3,3,50,1,1,50,1,1,60,1,1,50,1,1,40,1,1,10,1,3,20,1,3,30,1,3,10,1,3,30,3,3,Early,1
R_bOSYOiGDcRMFXR7,Yes,1,80,1,1,80,1,1,70,1,1,80,1,1,70,1,1,70,1,2,70,1,2,70,1,1,60,1,1,20,1,1,50,5,4,30,3,3,50,3,3,30,1,3,50,1,3,Early,1
R_2PiHPgn4WzEYM5y,Yes,1,70,3,1,70,3,2,80,1,1,90,3,2,60,3,2,,1,1,20,1,1,70,1,1,60,1,1,20,1,1,40,1,3,30,1,3,30,3,4,10,3,4,30,1,4,Early,0
R_1yO9fBje1H2HiXD,Yes,1,,,,80,3,2,100,2,2,30,1,1,90,1,1,60,1,1,20,1,1,30,1,1,70,1,1,,,,10,1,3,40,1,3,50,5,4,50,3,3,60,5,4,Early,1
R_1jZ1KNm9kHP0l6D,Yes,1,40,1,1,30,2,2,30,1,2,40,3,2,10,1,1,10,1,1,10,1,1,20,2,2,20,2,2,0,1,1,10,1,3,30,5,4,30,3,4,20,2,3,30,1,4,Early,0
R_1CIvZjbpSXYfrLK,Yes,1,40,1,4,20,1,4,30,5,4,30,1,1,70,4,3,20,1,1,10,1,2,40,1,1,,1,3,20,1,1,50,1,2,20,3,4,20,3,3,30,1,1,30,1,1,Early,0
R_1pGbpdzGuze2jN4,Yes,1,50,1,2,30,1,2,30,1,2,80,3,2,40,1,1,60,1,2,50,3,3,30,1,1,30,1,1,20,1,1,70,4,4,50,1,3,60,1,3,20,1,3,60,3,4,Early,1
R_bC9L2h67pV2mLaF,Yes,1,100,4,2,20,1,,70,1,2,70,3,2,20,1,1,10,1,1,30,3,2,70,3,2,70,1,1,10,1,1,30,4,3,30,1,3,40,3,3,20,1,2,30,1,3,Early,1
R_3gLRRaxaGctsEo8,Yes,1,100,1,1,100,1,1,100,1,1,80,2,2,50,1,1,70,1,1,10,1,1,60,1,1,10,1,1,80,1,1,10,1,1,10,1,2,10,3,2,20,2,3,50,4,3,Early,1
R_2dhWzJufNQ4YwIZ,Yes,1,30,3,2,50,3,2,40,3,2,40,4,3,30,1,1,10,1,2,10,1,2,30,1,2,10,1,1,70,4,3,10,1,3,10,1,3,10,1,3,10,1,3,70,4,4,Early,1
R_1QE2kWmCOlDpfTg,Yes,1,40,1,1,30,1,1,20,1,1,20,1,1,30,1,1,20,1,1,60,1,3,40,1,1,20,1,1,10,1,1,20,3,4,30,3,3,20,3,4,50,3,3,30,3,4,Early,0
R_8Im819pPCx0ZE3f,Yes,1,40,1,1,70,1,1,100,1,1,90,3,2,80,1,1,30,1,1,40,1,1,100,2,1,30,1,1,10,1,1,0,2,4,10,2,3,10,2,4,0,1,3,50,4,4,Early,0
R_2ofA23vh5rv5Um5,Yes,1,40,1,1,30,1,1,70,2,1,100,4,3,20,1,1,20,1,1,30,1,1,80,3,2,30,1,1,30,1,1,20,1,3,50,4,4,30,4,4,60,4,3,60,3,3,Early,0
R_2tmOykRi0iKN4ly,Yes,1,70,3,3,70,3,3,70,3,2,90,3,3,10,1,1,60,3,2,60,1,2,90,3,3,70,3,2,10,1,1,50,1,2,20,1,3,30,1,3,30,1,3,60,3,3,Early,0
