"ID","A1_1","A1_2","B1","C1_1","C1_2","C1_3","A2_1","A2_2","B2","C2_1","C2_2","C2_3","A3_1","A3_2","B3","C3_1","C3_2","C3_3","A4_1","A4_2","B4","C4_1","C4_2","C4_3","A5_1","A5_2","B5","C5_1","C5_2","C5_3","A6_1","A6_2","B6","C6_1","C6_2","C6_3","A7_1","A7_2","B7","C7_1","C7_2","C7_3","A8_1","A8_2","B8","C8_1","C8_2","C8_3","A9_1","A9_2","B9","C9_1","C9_2","C9_3","A10_1","A10_2","B10","C10_1","C10_2","C10_3","doubt_other_inst","doubt_same_inst","doubt_students","doubt_yourself","main_area","area_other","do_research","funding","funding_5_years","observation","experiment","modelling","survey","method_other","method_other_descript","clinic","lab","field","location_other","location_other_descript","institution_priority","institution_type","position","position_other","higher_degree","sex","skin_colour","age","brazilian","other_nation","other_nation_descript","country_higher_degree","suggestions"
22,80,100,1,2,NA,NA,50,10,2,NA,NA,NA,50,10,2,NA,NA,NA,50,70,1,3,NA,NA,10,5,2,NA,NA,NA,10,0,2,NA,NA,NA,5,0,2,NA,NA,NA,10,5,2,NA,NA,NA,10,10,2,NA,NA,NA,50,0,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Never","Legal, Forensic, and Criminal",NA,"Yes","No","No","Yes","No","No","Yes",1,"Intervenção ","Yes","No","Yes","No",NA,"Equal emphasis","Private","Adjunct professor",NA,"Doctorate","Female","White",40,"Yes","No",NA,"Brasil",NA
28,90,90,1,3,"São relatados, em publicações, referência bibliográfica com produções que se coadunam aos objetivos da investigação e demonstraram resultados consistentes.",NA,50,50,2,NA,NA,NA,10,10,2,NA,NA,NA,60,60,1,3,"Em psicometria, a prática é recomendável.",NA,10,10,2,NA,NA,NA,70,70,2,NA,NA,NA,0,0,2,NA,NA,NA,50,50,2,NA,NA,NA,95,95,1,3,"Normas de publicação.",NA,5,5,2,NA,NA,NA,"Once or twice","Occasionally","Once or twice","Never","Organizational and Work",NA,"Yes","No","Yes","No","No","No","No",1,"Estudos quase experimentais (correlacionais).","No","No","Yes","No",NA,"Equal emphasis","Public","Emeritus professor",NA,"Doctorate","Male","White",58,"Yes","No",NA,"Brasil",NA
30,61,36,2,NA,NA,NA,70,52,2,NA,NA,NA,41,41,2,NA,NA,NA,30,30,2,NA,NA,NA,30,30,2,NA,NA,NA,40,40,2,NA,NA,NA,10,10,2,NA,NA,NA,30,30,2,NA,NA,NA,40,40,2,NA,NA,NA,45,45,2,NA,NA,NA,"Occasionally","Never","Occasionally","Never","Clinical",NA,"Yes","Yes","Yes","Yes","No","No","No",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Masters","Female","White",49,"Yes","No",NA,"Brasil",NA
31,70,60,1,3,"Parece-me indispensável a prática de recorrer a estudos para fundamentar hipóteses ou discussões de um artigo.",NA,50,50,1,2,"Consigo pensar em situações em que a limitação exigida para um texto relegue informações que sejam consideradas  de menor relevância  a um segundo plano.",NA,50,50,2,NA,NA,NA,90,90,1,2,"Intercorrências no estudo (por exemplo, redução de tempo), pouco conhecimento em análises estatísticas",NA,70,50,2,NA,NA,NA,40,40,2,NA,NA,NA,10,10,2,NA,NA,NA,80,80,1,2,NA,"Desconhecimento de análises, pouca adequação de instrumento",40,40,2,NA,NA,NA,20,20,2,NA,NA,NA,"Never","Never","Never","Never","Development",NA,"No","No","No","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Private","other","professor horista","Doctorate","Female","White",35,"Yes","No",NA,"Brasil","Não."
38,39,52,1,3,NA,NA,31,31,2,NA,NA,NA,0,0,2,NA,NA,NA,32,32,2,NA,NA,NA,25,24,2,NA,NA,NA,6,9,2,NA,NA,NA,10,10,2,NA,NA,NA,21,14,2,NA,NA,NA,62,65,2,NA,NA,NA,13,16,2,NA,NA,NA,"Occasionally","Once or twice","Once or twice","Never","School and Education",NA,"No","No","No","No","No","Yes","No",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Undergraduate","Female","White",25,"Yes","No",NA,"Brasil",NA
40,49,38,2,NA,NA,NA,41,46,2,NA,NA,NA,69,58,2,NA,NA,NA,41,36,2,NA,NA,NA,59,26,2,NA,NA,NA,37,28,2,NA,NA,NA,29,6,2,NA,NA,NA,62,45,2,NA,NA,NA,14,13,2,NA,NA,NA,54,46,2,NA,NA,NA,"Occasionally","Once or twice","Occasionally","Once or twice","Health",NA,"Yes","No","Yes","Yes","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Doctorate","Female","White",33,"Yes","No",NA,"brasil","Algumas perguntas deveriam ser refeitas, por sugestionam as respostas e as alternativas em percentual estão muito semelhantes. Mudaria a forma de perguntas, talvez em Lickert"
41,80,80,2,NA,NA,NA,50,50,2,NA,NA,NA,40,40,2,NA,NA,NA,75,75,2,NA,NA,NA,30,30,2,NA,NA,NA,20,20,2,NA,NA,NA,10,10,2,NA,NA,NA,30,30,2,NA,NA,NA,60,60,2,NA,NA,NA,10,10,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Once or twice","Behavior Analysis",NA,"Yes","Yes","Yes","No","Yes","No","No",0,NA,"No","Yes","No","No",NA,"Teaching","Public","Graduate student",NA,"Masters","Female","Yellow",32,"Yes","No",NA,"Brasil",NA
44,20,20,1,2,"No início da carreira como pesquisadora não havia clareza suficiente sobre a questão. Talvez o desconhecimento e imaturidade como pesquisadora tenha levado à esta conduta.",NA,10,5,2,NA,NA,NA,10,6,2,NA,NA,NA,5,100,2,NA,NA,NA,0,0,2,NA,NA,NA,4,3,2,NA,NA,NA,10,0,2,NA,NA,NA,4,0,2,NA,NA,NA,62,83,2,NA,NA,NA,2,2,2,NA,NA,NA,"Once or twice","Never","Once or twice","Never","Psychological Assessment",NA,"Yes","Yes","Yes","No","No","Yes","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Private","Emeritus professor",NA,"Doctorate","Female","White",67,"Yes","No",NA,"Brasil","Acho importante este tipo de pesquisa, visto que ela poderá possibilitar a estimativa de boas práticas científicas entre os pesquisadores da nossa área"
46,70,50,1,2,"Por que a pretensão era a de confirmar se determinada perspectiva de atuação lograva êxito.",NA,35,10,2,NA,NA,NA,30,10,2,NA,NA,NA,30,15,1,3,"Por que foi considerado que valia a pena ampliar a amostra, apesar do aumento de trabalho, em função do ganho em termos de volume de resultados para a melhoria de serviços a serem ofertados à população.",NA,10,5,2,NA,NA,NA,5,1,2,NA,NA,NA,2,0,2,NA,NA,NA,5,2,2,NA,NA,NA,3,1,2,NA,NA,NA,1,1,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Never","Social",NA,"Yes","Yes","Yes","Yes","No","No","No",0,NA,"No","No","Yes","No",NA,"Research","Public","Associate professor",NA,"Doctorate","Male","White",62,"Yes","No",NA,"Brasil",NA
47,50,50,1,2,"Pq entendo ser um dado interessante dependendo do tema e da relevância desse dado para o tema. Relatei no meu artigo o número de profissionais dentre os quais eu entrevistei que usavam x ou y tecnica, por exemplo. ",NA,50,50,1,2,"Pq muitas vzs são dados irrelevantes ou q não tem espaço p citar no artigo em questão: se faz uma seleção dos dados mais relevantes. Em especial, resultados. Mas, penso que o melhor até para que possa ser replicada q todas as infos sejam declaradas ",NA,70,70,2,NA,NA,NA,80,80,1,3,"Para tornar os resultados mais densos a amostra tem que ser justificável. Não para  mexer  nos dados no sentido de verificar hipótese ou tendenciar. Mas sim para solidificar em termos de conteúdo. Em especial,  em pesquisa quali, qdo alguns entrevistadores são rasos ",NA,60,60,2,NA,NA,NA,40,40,2,NA,NA,NA,10,10,2,NA,NA,NA,26,27,2,NA,NA,NA,89,89,2,NA,NA,NA,52,54,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Never","Clinical",NA,"Yes","No","No","Yes","Yes","No","No",0,NA,"Yes","No","No","No",NA,"Equal emphasis","Private","Graduate student",NA,"Masters","Female","White",36,"Yes","No",NA,"Brasil",NA
48,50,20,2,NA,NA,NA,50,40,2,NA,NA,NA,20,80,2,NA,NA,NA,50,80,2,NA,NA,NA,50,80,1,2,"Tempo hábil para finalizar a pesquisa.",NA,10,0,2,NA,NA,NA,5,5,2,NA,NA,NA,20,90,2,NA,NA,NA,80,25,1,1,NA,"Habituação. É de praxe fazer esse arredondamento. Porém, nessa década esse hábito tem-se extinguindo.",50,30,2,NA,NA,NA,"Once or twice","Once or twice","Occasionally","Once or twice","Social",NA,"Yes","No","Yes","Yes","Yes","No","Yes",0,NA,"No","Yes","Yes","No",NA,"Research","Public","Graduate student",NA,"Masters","Male","Parda",45,"Yes","No",NA,"Brasil",NA
49,85,80,1,2,"Ao elaborar um estudo de caso, em formato de artigo, optei por escolher um caso que havia conseguido bons resultados na prática clínica. Acredito que possivelmente foi justificável porque é importante sabermos quais os caminhos utilizados que deram certo nas práticas clínicas.",NA,70,50,2,NA,NA,NA,90,90,1,2,"Foi feita a divisão das variáveis para a publicação de mais de um estudo.",NA,60,60,2,NA,NA,NA,50,25,2,NA,NA,NA,50,10,2,NA,NA,NA,10,0,2,NA,NA,NA,70,50,2,NA,NA,NA,80,20,2,NA,NA,NA,50,10,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Once or twice","Cognitive",NA,"Yes","Yes","Yes","No","No","No","Yes",0,NA,"No","No","No","Yes","Online","Teaching","Public","Graduate student",NA,"Undergraduate","Female","White",23,"Yes","No",NA,"Brasil","Senti falta de uma pergunta sobre a qualidade das referências bibliográficas que encontramos em artigos e de dados incongruentes, por vezes a parte estatística trás dados errados e não se tem comentado muito sobre isso."
53,39,46,1,1,NA,"Para defender um argumento ",59,22,1,1,NA,"Para dividir a pesquisa em mais artigos",79,31,1,2,"Para dividir o relato científico em mais de um artigo",NA,51,29,2,NA,NA,NA,55,32,2,NA,NA,NA,59,15,2,NA,NA,NA,21,5,2,NA,NA,NA,45,17,2,NA,NA,NA,54,42,1,3,"Aprendi assim",NA,44,31,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Once or twice","Psychological Assessment",NA,"Yes","Yes","Yes","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","Adjunct professor",NA,"Doctorate","Male","White",41,"Yes","No",NA,"Brasil",NA
59,65,50,2,NA,NA,NA,75,30,2,NA,NA,NA,25,15,2,NA,NA,NA,25,25,2,NA,NA,NA,40,25,2,NA,NA,NA,30,10,2,NA,NA,NA,15,5,2,NA,NA,NA,80,30,1,3,NA,"Teste de modelos de regressão estatística.",85,50,1,2,"Como é indicado usar apenas duas casas decimais após a virgula, quando o terceiro decimal for menor que cinco, pode-se manter o segundo decimal, mas quando maior ou igual a cinco, deve-se aumentá-lo.",NA,45,15,2,NA,NA,NA,"Occasionally","Once or twice","Occasionally","Never","Family and Community",NA,"Yes","Yes","Yes","Yes","Yes","No","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Private","Adjunct professor",NA,"Doctorate","Female","White",39,"Yes","No",NA,"Brasil",NA
60,100,5,1,2,"Refinamentos metodológicos.",NA,90,10,2,NA,NA,NA,90,10,2,NA,NA,NA,90,10,2,NA,NA,NA,90,10,2,NA,NA,NA,90,5,2,NA,NA,NA,1,0,2,NA,NA,NA,96,5,2,NA,NA,NA,90,5,2,NA,NA,NA,80,5,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Occasionally","Psychological Assessment",NA,"Yes","Yes","Yes","No","No","No","Yes",0,NA,"Yes","No","No","No",NA,"Equal emphasis","Public","Associate professor",NA,"Doctorate","Male","White",58,"Yes","No",NA,"EUA",NA
62,10,0,2,NA,NA,NA,10,5,2,NA,NA,NA,15,50,2,NA,NA,NA,50,50,2,NA,NA,NA,10,50,2,NA,NA,NA,20,50,2,NA,NA,NA,0,0,2,NA,NA,NA,10,5,2,NA,NA,NA,90,100,1,3,"Eu respondi errado a esta questão e queria alterar, mas não há como voltar.  Interpretei errado, achei que era um valor menor que 0,05 que era arredondado, e não maior.",NA,9,27,2,NA,NA,NA,"Occasionally","Never","Once or twice","Never","Social",NA,"Yes","No","No","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Teaching","Private","Adjunct professor",NA,"Doctorate","Female","White",36,"Yes","No",NA,"Brasil","Respondi errado a uma questão e gostaria de voltar e alterar. Não sei se é porque estou respondendo de um celular, mas não foi possível"
65,80,80,2,NA,NA,NA,50,50,2,NA,NA,NA,75,53,2,NA,NA,NA,14,13,2,NA,NA,NA,84,82,2,NA,NA,NA,60,60,2,NA,NA,NA,12,7,2,NA,NA,NA,57,37,2,NA,NA,NA,51,32,2,NA,NA,NA,70,72,2,NA,NA,NA,"Occasionally","Once or twice","Once or twice","Never","Health",NA,"Yes","No","No","No","No","Yes","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Private","Assistant professor",NA,"Doctorate","Female","White",41,"Yes","No",NA,"Brasil",NA
66,50,30,2,NA,NA,NA,70,10,1,2,"Condições que julgamos não modificar os resultados, mas dificultar a publicação.",NA,80,50,2,NA,NA,NA,50,50,2,NA,NA,NA,50,20,2,NA,NA,NA,50,30,1,2,"Confesso que até o momento, não havia parado para pensar o quanto essa prática pode ser ruim. No caso foi no contexto de um relatório de estágio para a faculdade.",NA,5,1,2,NA,NA,NA,70,40,1,2,NA,"No caso de se relacionarem a dificuldades técnicas ou logísticas, que atrapalharam a coleta de dados, ainda assim, isso pode ser descrito.",80,50,2,NA,NA,NA,80,20,2,NA,NA,NA,"Never","Once or twice","Once or twice","Once or twice","Health",NA,"Yes","Yes","Yes","Yes","No","No","Yes",0,NA,"Yes","Yes","No","Yes","Hospital","Equal emphasis","Public","Graduate student",NA,"Masters","Female","White",35,"Yes","No",NA,"Brasil","Parabéns pela pesquisa! Fiquei orgulhosa! Convivo mais com a área médica e hospitalar e pensei em pesquisadores em geral, não apenas psicólogos."
67,96,94,1,2,"Para motivar a pesquisa.",NA,100,100,1,2,"Sem espaco",NA,100,100,1,2,"Sem relevancia no caso",NA,74,76,1,2,"Sem.poder amostral  ",NA,21,30,2,NA,NA,NA,46,44,2,NA,NA,NA,6,6,2,NA,NA,NA,21,16,2,NA,NA,NA,53,47,2,NA,NA,NA,52,58,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","Development",NA,"Yes","No","Yes","No","Yes","No","No",0,NA,"No","Yes","No","No",NA,"Equal emphasis","Public","Adjunct professor",NA,"Doctorate","Female","Parda",40,"Yes","No",NA,"EUA","Nao"
75,82,52,1,3,"para averiguar de que maneira são feitas as pesquisas de intervenção ou protocolos utilizados que tragam benefício para as pessoas",NA,65,78,1,2,"a importância de justificar as variáveis intervenientes",NA,72,73,2,NA,NA,NA,67,68,1,3,"Pois é necessário deixar claro quem foram os participantes da amostra, pois os resultados serão pertinentes à essa amostra específica, e a quantidade de participantes é um dado indispensável para a averiguar a eficácia das análises",NA,14,10,2,NA,NA,NA,29,30,2,NA,NA,NA,32,28,2,NA,NA,NA,53,55,2,NA,NA,NA,72,78,2,NA,NA,NA,12,11,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Once or twice","Clinical",NA,"Yes","No","No","No","No","No","Yes",1,"avaliação","Yes","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Undergraduate","Male","White",30,"Yes","No",NA,"Brasil",NA
77,85,100,1,2,"Sempre que fazemos uma revisão, agimos de forma seletiva e o recorte que fazemos nos leva a uma direção e não em outra.",NA,15,100,2,NA,NA,NA,25,100,1,3,"Como foram muitas variáveis estudadas , dividimos a publicação em duas.",NA,10,100,2,NA,NA,NA,10,100,2,NA,NA,NA,20,100,2,NA,NA,NA,4,90,2,NA,NA,NA,20,100,2,NA,NA,NA,5,100,2,NA,NA,NA,60,100,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Never","Development",NA,"Yes","Yes","Yes","No","No","No","No",1,"Misto","No","No","Yes","No",NA,"Equal emphasis","Public","Adjunct professor",NA,"Doctorate","Female","Parda",55,"Yes","No",NA,"Brasil","Mesmo quando a resposta  assinalada foi NÃO deveria ter espaço para explicar a nossa posição. "
83,81,29,2,NA,NA,NA,59,62,2,NA,NA,NA,63,66,2,NA,NA,NA,83,83,2,NA,NA,NA,65,67,2,NA,NA,NA,22,26,2,NA,NA,NA,34,34,2,NA,NA,NA,60,22,2,NA,NA,NA,35,17,2,NA,NA,NA,22,9,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Occasionally","Social",NA,"No","Yes","Yes","No","No","No","No",1,"Exploratorio-descritivo, qualitativo","No","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Undergraduate","Female","White",34,"Yes","No",NA,"Brasil","Achei muito importante a pesquisa que vocês estão realizando. Acredito que devemos nos conscientizar a respeito das práticas em pesquisa, principalmente para que sejam adequadas. Acho uma pena essa exigência de que os estudos precisam sempre dar resultados favoráveis ou positivos. Acho que esse motivo acaba por levar as pessoas a manipular dados, modificar o estudo, aspectos que são inadequados."
