"","QRP1","QRP2","QRP3","QRP4","QRP5","QRP6","QRP7","QRP8","QRP9","QRP10","QRPgeneral"
"11","A result is not more important for being significative or not.","Again, I think people do this when they are working with a big complex data set and it's hard to settle into your most parsimonious presentation of the study. I know I have done it when I think some covariate data are kind of spotty but it's the best data we have on a particular covariate, and some reviewer is likely to ask if we looked at it. I check the relationships, and keep the results ready if someone asks. If you say that the relationship is not significant in the paper - someone will take that message away from the paper - even if you say a thousand times that the data are not good enough to use in that way.","Acceptable if the ""unexpected"" result was obvious from the literature ","Again, explanatory analyses are often done before a subset of final analyses are defined. If the latter set is oriented by results there is a risk of having more false positives","a threshold is a threshold. If the value is larger, it's not below. ","Although I prefer not to, I think if there's ground to call some specific data point a clear outlier it could in principle be done","Adding more data to a study is not necessarily a problem, especially if the first study is considered a pilot. If something is not significant and it is not a power issue, collecting more data is not necessarily going to change the significance. ","Again reasonable if you've violated the model assumptions. Of course maybe you should have thought of this in the first place, but sometimes non-parametric methods only become more obvious once you really think about the results of parametric models.","Again, this is scientific malpractice. I have rejected tonnes of data simply because there are issues with their quality. ","Are you kidding me? That is crazy.","As for statistical analyses, I often encounter unfavorable practices. Two major ones that were not included in this survey are time series analysis and the choice of distribution. Some researchers regress time series data against time to perform regression analysis. This violates the assumption of data points being independent. As for distribution, many researchers assume normal distribution, even when they are dealing with variables following, e.g. poisson distribution."
"12","A significant correlation does not always mean significant conclusions. There are relationships that are may be evident, without reaching the 0.05 limit. This could be due to low number of samples or outlier driven or any other statistical error. So if a study is well backed up, it can be stronger than a significant correlation. ","Again, I think this is OK in observational type studies where there are potentially large numbers of explanatory variables. ","Again I am puzzled what you are after. If I have formulated a hypothesis (a prediction), and the outcome is unexpected, not as predicted, whats bad with that? I would not reshape my hypothesis for that reason. You think people do that? Why should they? ","Again, I just think there should be transparency in model selection criteria, but I don't tend to use model selection approaches that much.","Actually it is a bit difficult to interpret this question. It should never be used in situations when it implies that a result meets a predetermined threshold for significance, but if it is clear that it's just a matter of displaying a value to a certain number of significant figures, it may be okay. But obviously better to write as '&gt;' than '=' in the examples given. ","Although you can fix your model because the assumptions are violated, you should not delete data point. This is not ethical.","Adding true, independent replicates to a study or - preferably - repeating the whole study with more replicates, is often statistically good. In long-term field experiments, however, it is often almost impossible because there is no way to add true replicates in cases where experiment was started (say) 5-10 years ago.","Again this is subjecting data to multiple tests and needs a correction","Again, this is something I did when I was young and foolish (and poorly advised).","As long as it is disclosed, it should be OK.","As noted by my comments, several of your questions cover a mix of practices that are legitimate and those that aren't, so the results may be a bit hard to interpret. /  / Furthermore, my guesses on number of people undertaking a practice are wild guesses, based on no data - probably true for most respondents."
"13","A similar answer to the last question. I don't really design experiments to run multiple P tests, and instead tend to use Bayesian methods where I'm trying to infer certainly on parameters (and thus reporting CRs).  However, if researchers do use a frequentist method, then you do need some threshold, otherwise the paper would be filled with 'we look at this list of a million things and saw no association'.  I'm less convinced P is the right threshold - depending on the test, effect sizes might be better (or something similar)","Again, important to know when factors are not important, though it is likely ""less interesting"" than the main result. At least report it in the supplement.","Again it completely depends on the situation and type of study whether or not this is ethical. If you accidentally discover something unexpectedly that is important, it could be completely reasonable to rebuild the narrative around the discovery to better convey the information. ","Again, I think it is probably impossible to report in a manuscript the entire set of models that have been explored in a dataset. The question should also be better defined: i.e. it happens that one looks at patterns affecting juveniles in the analytical stage - out of curiosity, or to better understand some patterns observed in another age class - even if the main focus is on adult females --&gt; is this bad practice? We cannot publish virtually everything we explore. ","Actually, I think that ecologists would be much better off following standard practice in statistical journals of reporting &lt; .05, ,01, etc, and rounding, as there is virtually no meaning (beyond sample size effects) of that additional decimal. Adding decimals to P-values suggests precision (and accuracy) that is not there.","Analyzing the sensitivity of results to outlier data points is good statistical practice. Results are reported with and without the outliers and the implications discussed","After a preliminary analysis can be estimated the sample size to reach the desirable statistical power. For this purpose, I would allow collecting additional data.","Again, a practice that creates a bias in the chance of having a positive result. But it can be ok as long as we are clear about how different methods differ and we report them all.","All aspects of methodology / interpretation should be reported, if only for repeatability.","Clear bias/attempt to mislead.","Besides asking why one thinks a practice should or should not be used, I would have found interesting to offer the possibility to explain why they have engaged in such practice at least once. My experience is that I had very little awareness of what was good or bad practice in statistical data analysis when I was a PhD student, because I was then very young, unexperienced, and my statistical skills were limited (to a large extent, I learnt by doing). More importantly, I was lacking a superviser caring about these matters, and in general an environment that would encourage thinking about all this. I believe I have not engaged in such practice in my postdoc research anymore. I think what matters is not only practice per se, but also how practice evolves during one's research career. On another note, even though this should not be an excuse, as you know some practice I would consider bad is encouraged by the publication system... I think many researchers are aware what they do is not good practice, but they still do it because of the famous ""publish or perish"" dilemma."
"14","A tough one. In my case, I just haven't gotten round to publishing these results yet. If they data have been collected properly, but there is a non-significant p value, then the data are still very valuable. Not publishing such data is short sighted and holds back potential advances in theory and practice. ","Again, increases the number of false positives. Additionally, it fails to report information that might turn up to be of interest for future researchers doing meta-analyses","Again, a bit confusing. The statistics of hypothesis testing should be performed on an a priori hypothesis.  That is, you shouldn't find a statistical result through exploratory analysis, and then define a full statistical test to 're-test' that finding.  However, there is nothing inherently wrong at exploratory analyses, and in fact, many early researchers do not 'look at' their data enough.  However, the statistics need to be carefully designed to accommodate this two-phase process.","Again, I think it should be used at the discretion of the researcher. Ultimately, the journal/reviewers will end up having a preference of what to share, and this information can sometimes be useful as an appendix. ","again i think the questions poorly worded. most stat programs will give you various decimal places you must reduce for publication.  i would generally reduce to to two decimal places so i do what you dewcribe in the example above but when we talk about the third decimal place or the fouth etc. it shouldnt matter","Any data point, except some clear outliers, should not be excluded from the analysis only to improve the p-value. It's cheating. ","Again we should not be using p values. One may want to take additional data if the observed variance is too large to give adequate confidence intervals.","Again, a question of context: some analyses are simply better for a given situation.  Fishing among analyses just to get a significant value, however, would be inacceptable.","All caveats related to the data set and analyses should be discussed - this is the only way that results can be properly interpreted. It is unlikely that reviewers would not highlight these issues during the review process in any case.","Complete inapropriate. This is faking data.","Best of luck with it!"
"15","Absence of sugnificance is a result ","Again, it's dishonest! But in select circumstances or particular studies it might be justified. ","Again, I do not like it, but how else do I publish? ","Again, indicative of the possibility of p-hacking / dredging data. Analysis design should occur at the same time as experimental design.","Again, a version of bias is introduced with this rounding down.","As opposed to excluding a data point as a result of influence statistics, of course.","Again, an issue for p values in particular but also sometimes necessary to try and find efficiencies in a data collection process where samples are costly and variances unknown and separate pilot not possible. ","Again, if the intent is to keep trying to new tests until one is statistically significant, this is dishonest. If the intent is to use the correct test, and you realize that you have used the incorrect one after testing it, well, that's a more thorny issue. It does happen and in the real world, it is hard to avoid as we are not all experts in all the methods and learning about new methods happens ""on the fly"". I have done this ""by accident"" lots, but I strive to avoid it wherever possible.","All known problems in the method, data analysis and data quality should always be made clear in the manuscript. This is important as it is crucial in the interpretation of the data and conclusions drawn from it.","completely dishonest - essentially making up data","Best of luck, I hope you get a good response rate. I'll be interested to see the results!"
"16","Again - during model simplification many predictor variables will be removed from models. This is usually addressed in the methods (e.g. predictors with p &gt; 0.25 were removed in backwards model selection), but stating the actual p-value of each of those variables before removal is extra and unnecessary information","Again, it depends on if it is done to deliberately hide something potentially important. If there is substantial space saving or simplicity in leaving the non-significant information out, especially in exploratory analyses, readers don't need to be burdened with the non-essential information. ","Again, it depends on the story. If the story is more right-away to tell in that form, it can be used.","Again, intellectual dishonesty. Further, one can (and should) simply explain why other candidate data sets tested were not used. ","Again, I don't usually report p-values, but I think that they should not be simply reported as whether or not they were above or below a certain threshold.","As with choosing statistical tests, outliers should be excluded in some circumstances, but simply looking at the p-value difference w/ or w/o them is not OK.","Again, ideally it shouldn't be done, and in my experience isn't being done. The reason is not statistical prudence but time constraints. When the season is over, the data are in, for good or for bad. / At the same time, in the ""everything is connected to everything else""-paradigm, there MUST be an effect of X on Y. If the methods explain this clearly and an additional simulation investigates the effect of cumulating data, I would be fine with this approach.","Again, it's dishonest. There are usually only a few ways to analyses something properly. If a different analysis gives a different result then either one of the analyses is inappropriate, or the result(s) are due to structural differences in how the different analyses work and the researcher should think hard about which they should choose!. ","Almost all analyses have inherent problems which are impossible to discuss in detail every time.","Constitutes inventing data.","Clearly most of the problems this survey asks about are variation on the same theme: research practices that skew the scientific literature towards publication of ""significant"" results, leading to biased estimates of true effect sizes in the literature overall. These problems are rife in ecology."
"17","Again - space issues - but can be fishing for result you want,.","Again, it is misleading and so bad ethics. The design of the model should reflect the design of the experiment, so if covariates are relevant, they should be reported, even if not significant.","Again, it is hypothesis generating rather than hypothesis testing and should only be reported as such. ","Again, it can be done for simplicity (e.g. to eliminate models that are somewhat redundant), but never to hide important results. ","again, the question is unclear.  This is implying that we should consider p-value treshholds as hyper important. they are not. P=0.051 and P=0.049 should convey the same conclusion. Of course tweaking those values to meet a treshold significance is clearly bad. But rounding up is also good, just because the very concept of treshold significance is questionnable, and we should really consider only orders of magnitude of P values.","Assessing outliers is an important step in analysing ones data - in fact highly influential data points or covariates could completely skew the results of the analysis and may violate some of the underlying assumptions of the model. /  / Therefore, it can be good practice to: 1. identify such influential data points using appropriate statistical means 2. assess how it affects the modelling you are undertaking 3. fit competing models with and without the influential data point and observe how the point estimates of your parameters of interest vary. /  / Above all, however, if one engages in this practice, one should be transparent about the process and both models ideally should be reported somewhere in the paper (either in the supplementary material or the main body of the paper).","Again, it depends on the nature of the study. Such a practice is exactly what one would do as part of an adaptive management plan, for example. ","Again, one needs to be ethical. Science is about testing hypotheses with experiment, not about publishing p<0.05 in the sexiest journal possible. A priori and post priori hypotheses are both acceptable, but they need to be labeled as such.  ","Almost all analyses in evolution have many potential pitfalls. I don't think it's necessary to discuss every one for every analysis, but rather just focus on the key ones that could qualitatively alter interpretation of results.","d)   Optional Question:  Why do you think this practice should or shouldn't be used? ","congrats for the nice study! Hope you have enough answer to give a robust picture of these issues!"
"18","again depends.  at the study level, ideally all findings get published, but a) people run out of time and so sometimes the least interesting results fall off the conveyor belt and b) sometimes a positive result is interpretable and a negative one is not. / at the experimental level it should never happen - all parts of experimental design should be reported whether signif or not","Again, it must depend on researcher's experience about when to measure/test/report a covariable. Covariables are sometimes not covariables but noise, and that could be identified when exploring data using multiple stats.","Again, the practice of presenting post-hoc observations as prior hypotheses makes the scientific literature uninterpretable.","Again, it depends.  Statistical analyses help one find patterns. As long as this it is made clear to readers that the purpose was to find a pattern, most journals won't publish anything but the best fitting model.","All P values should be presented at three sig. figs.  That would allow the reader to make up their mind.","Assuming the data set has been checked already for odd values due to data entering/inconsistent units/etc., I belive 'true' data points should not be excluded just because they are very influential, or then at least one should report both the results with and without such data points and discuss their influence.","Again, it depends. If the first test is a pilot, it is fine. Fisher advocated this. But the tests should be blocked. ","Again, situation specific. Was the initial model attempt, flawed, or not the right model for some reason, and that is why it failed, then by all means try something more appropraite. That should be the basis for trying a new model, not to keep trying something until you get the results you want.","Although caveats can be distracting and dispiriting in a publication, it's important that any major sources of potential error or uncertainty are addressed.  Limits of space mean that researchers do have to exercise their best judgement as to what potential problems are most likely to effect the conclusions, however.","Data fabrication is pretty much the worst sin possible","Didn't finish answering Q1 as I thought I could go back and add to it. "
"19","Again I don't think I can answer the multiple choice questions.  / I think researchers may do this because it is cumbersome and discouraged to have too many variables or results - the pressure for shorter papers. / What I do and what I would recommend to scientists in general is to simply state that these variables are not significant and do not present as much detail or do so in an appendix. / As an editor I do not reject any manuscripts for this reason.","Again, non- significance is an important information and not reporting leads to biased knowledge. However given the low reproducibility of p values it again illustrates the dilemma of using p values ","Again, this is hard to answer and is really a poor question as it presupposes that we can know the mind of someone. What is important and ethical is that results are presented fairly.                                            ","Again, it is an issue of multiple testing. However, careful description of all failed attempts would not pass a reviewer (aside of making a paper excruciatingly boring). Some compromise is usually reached in each particular case.","alpha of 0.05 is fairly arbitrary.  I think the biological significance of the effect size is probably more important.  Theoretical understanding and interpretation matter more than some arbitrary area under a curve. ","At least in phylogenetics, it can be useful to identify specific problematic taxa (few characters coded or limited data available, etc) and to rerun analyses without them, and see how the results change. Optimally, you report the results of both analyses.","Again, this depends of framework and on type of research (I suppose it is not uncommon in experimental studies...).","Again, this is just plain corrupt.","An interestin example: despite a series of papers in solid journals (Oikos) with apparently reasonable criticizm of regression residuals, really many researchers, including top scientists, proceed with using these ","Data gap-filling or estimating must always be reported","difficult to estimate % of colleagues that practice some of the topics highlighted here. The question should have been formulated differently (e.g. how often did you see that?) or simply don't ask it.  / "
"20","Again if there are page limits, this may lead to some data not being reported and it is more likely that NS variables will be excluded","Again, not sure to understand the question properly. I always report full models and never use model selection procedure when running multivariate analyses, meaning that I always report non-significant variables. It happens that I remove interactions that were not significant from a model to avoid overparameterization, but I normally signal it in the methods. I think it is possible that I have alreday fail to report a covariate that I tested in an explorative stage of the analyses - see my answers to previous questions. ","Always more interesting to read about things that are counter intuitive to widely held beliefs.  And they may indicate a good place to start the next research project. ","Again, sometimes you can provide key model comparisons in the main text so long as the full model set is in the SI.","ALthough I believe the 0.05 or 0.1 p-value is arbitrary anyway, one must maintain precision when trying to support conclusions with statistics. If its borderline this issue can be discussed.","BUT we should be transparent about it. I report models with and without influential data points and then discuss the influential points. ","Again, this should be used at the discretion of the researcher. Ideally, they've done a power analysis beforehand, in which case they should stick with the sample size estimated from that. ","All analyses that researchers do are wrong, so it's fine to look among them. But you shouldn't cherry pick. You have to go with what in your opinion is the least wrong analysis, even if you don't like the output. This gets back to my previous point on checking about additional covariates that you think could influence your results. ","approaching fraud","Data imputation can be performed in some settings, but the imputed data should be disclosed as such.","Do you really think people will own up to serious fraud, even anonymously? Self-deception is a big thing in research misconduct. "
